order_id,supplier_name,region,product_name,quantity,unit_price,order_date
5200008508,SeaDrunar,Seattle,WASTE PAPER NO.12 DSOCC,130,137.0,9/8/2025
5200008508,SeaDrunar,Seattle,WASTE PAPER NO.12 DSOCC,130,137.0,9/8/2025
5200008508,SeaDrunar,Seattle,WASTE PAPER NO.12 DSOCC,130,137.0,9/8/2025
5200008508,SeaDrunar,Seattle,WASTE PAPER NO.12 DSOCC,130,137.0,9/8/2025
5200008508,SeaDrunar,Seattle,WASTE PAPER NO.12 DSOCC,130,137.0,9/8/2025
5200008505,ICTV,Los Angeles,WASTE PAPER NO.12 DSOCC,690,140.0,9/5/2025
5200008505,ICTV,Los Angeles,WASTE PAPER NO.12 DSOCC,690,140.0,9/5/2025
5200008505,ICTV,Los Angeles,WASTE PAPER NO.12 DSOCC,690,140.0,9/5/2025
5200008505,ICTV,Los Angeles,WASTE PAPER NO.12 DSOCC,690,140.0,9/5/2025
5200008505,ICTV,Los Angeles,WASTE PAPER NO.12 DSOCC,690,140.0,9/5/2025
5200008505,ICTV,Los Angeles,WASTE PAPER NO.12 DSOCC,690,140.0,9/5/2025
5200008505,ICTV,Los Angeles,WASTE PAPER NO.12 DSOCC,690,140.0,9/5/2025
5200008505,ICTV,Los Angeles,WASTE PAPER NO.12 DSOCC,690,140.0,9/5/2025
5200008505,ICTV,Los Angeles,WASTE PAPER NO.12 DSOCC,690,140.0,9/5/2025
5200008516,Blue Rock,Vancouver,WASTE PAPER NO.12 DSOCC,260,142.0,9/2/2025
5200008516,Blue Rock,Vancouver,WASTE PAPER NO.12 DSOCC,260,142.0,9/2/2025
5200008495,City Fibers,Los Angeles,WASTE PAPER NO.12 DSOCC,115,140.0,9/2/2025
5200008495,City Fibers,Los Angeles,WASTE PAPER NO.12 DSOCC,115,140.0,9/2/2025
5200008495,City Fibers,Los Angeles,WASTE PAPER NO.12 DSOCC,115,140.0,9/2/2025
5200008495,City Fibers,Los Angeles,WASTE PAPER NO.12 DSOCC,115,140.0,9/2/2025
